bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
1,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,10h 35m,05:50,3.7,900,9
1,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,4.6,606,13
1,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,11h 30m,08:30,4.6,699,23
1,AdSangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,09h 45m,06:45,4.2,667,21
1,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,10h 50m,08:35,4.5,546,28
1,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,4.5,606,14
1,Ashray Amrutyog,A/C Sleeper (2+1),22:00,11h 30m,09:30,4.5,699,25
1,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,11h 30m,08:00,4.4,760,24
1,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,10h 30m,07:45,4.5,400,44
1,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,10h 25m,09:30,4.2,800,28
1,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,10h 30m,07:00,4.4,505,16
1,Indumati Travels,A/C Sleeper (2+1),22:20,10h 10m,08:30,4.2,570,20
1,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,11h 15m,07:15,4.3,499,28
1,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,11h 00m,09:30,4.2,920,33
1,IntrCity SmartBus,AC Sleeper (2+1),21:00,10h 40m,07:40,4.1,500,19
1,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:05,09h 56m,08:01,4.1,600,23
1,Ashray Pearl,Volvo Multi-Axle A/C Sleeper (2+1),22:30,10h 00m,08:30,4.0,799,31
1,IntrCity SmartBus,AC Sleeper (2+1),21:55,10h 25m,08:20,4.0,600,33
1,Laxmi Empress Stellar,NON A/C Sleeper (2+1),21:00,11h 00m,08:00,4.0,699,19
1,Humsafar Travels,A/C Sleeper (2+1),22:50,10h 40m,09:30,4.0,675,27
1,IntrCity SmartBus,AC Sleeper (2+1),23:35,10h 10m,09:45,4.0,600,30
1,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,11h 00m,10:00,4.3,540,25
1,Laxmi Queen Prime,A/C Sleeper (2+1),20:30,11h 00m,07:30,3.8,799,22
1,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),20:15,10h 15m,06:30,3.9,910,32
1,IntrCity SmartBus,AC Sleeper (2+1),21:35,10h 40m,08:15,3.9,744,19
1,Ashray Divine,NON A/C Sleeper (1+2),19:45,11h 00m,06:45,4.0,700,18
1,Ashray National Express,NON A/C Sleeper (2+1),20:00,10h 45m,06:45,4.2,700,24
1,Zingbus Plus,VE A/C Sleeper (2+1),02:10,10h 15m,12:25,4.2,724,8
1,Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),21:45,11h 00m,08:45,4.2,1020,25
1,Shreyash Travels,Bharat Benz A/C Sleeper (2+1),21:45,10h 45m,08:30,3.9,490,22
1,Traveltime Travels (St.Christopher),Non AC Seater (2+2),20:30,11h 00m,07:30,3.4,400,27
1,PSR Travels Goa,A/C Sleeper (2+1),23:45,09h 30m,09:15,3.6,1099,19
1,Laxmi Queen Asta,A/C Sleeper (2+1),21:30,10h 30m,08:00,4.1,799,28
1,Laxmi Queen Grand,A/C Sleeper (2+1),22:00,10h 30m,08:30,3.8,799,19
1,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:15,11h 15m,09:30,4.0,1030,25
1,Abhishek Vishal Travels,NON A/C Push Back (2+2),21:25,09h 45m,07:10,3.2,700,36
1,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),22:15,10h 15m,08:30,3.7,860,21
1,Dolphin Travel House (39),A/C Sleeper (2+1),22:30,10h 45m,09:15,3.2,860,36
1,Dolphin travel house,A/C Sleeper (2+1),23:45,11h 00m,10:45,3.3,860,27
1,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:00,10h 00m,08:00,4.0,600,23
1,Hans Travels (I) Private Limited,A/C Sleeper (2+1),23:59,12h 15m,12:14,2.4,1100,21
1,Humsafar Travels,A/C Sleeper (2+1),22:15,10h 45m,09:00,3.4,750,28
1,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),23:25,09h 45m,09:10,3.6,1000,30
1,Traveltime Travels (St.Christopher),Non AC Seater (2+2),20:30,11h 00m,07:30,3.4,400,27
1,Anand Travels,NON A/C Sleeper (2+1),21:30,12h 00m,09:30,3.4,594,17
1,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),23:25,09h 45m,09:10,3.2,1000,30
1,Gujarat Travels,AC Sleeper (2+1),23:00,11h 40m,10:40,2.6,950,34
1,KOKAN TOURS & TRAVELS,NON A/C Seater Push Back (2+2),21:00,11h 45m,08:45,3.0,3000,27
1,Maa tours & Travels,A/C Seater (2+2),23:29,10h 31m,10:00,1.2,900,20
2,Atmaram Gobus,VE A/C Sleeper (2+1),21:32,08h 50m,06:22,4.8,950,14
2,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 40m,09:10,4.8,899,23
2,IntrCity SmartBus,AC Sleeper (2+1),19:30,10h 05m,05:35,4.6,1534,6
2,AdShreyash Travels,A/C Sleeper (2+1),20:00,10h 00m,06:00,3.7,841,16
2,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,11h 30m,10:00,4.5,899,19
2,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,11h 10m,05:20,4.5,795,19
2,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,09h 45m,07:45,4.6,899,26
2,AdIndumati Travels,A/C Sleeper (2+1),21:00,10h 00m,07:00,4.0,760,18
2,IntrCity SmartBus,AC Sleeper (2+1),21:00,10h 05m,07:05,4.4,786,20
2,IntrCity SmartBus,AC Sleeper (2+1),20:00,11h 30m,07:30,4.3,997,9
2,IntrCity SmartBus,AC Sleeper (2+1),18:30,10h 55m,05:25,4.4,1035,10
2,Ashray Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:00,10h 15m,07:15,4.3,950,16
2,Zingbus Plus,VE A/C Sleeper (2+1),20:25,10h 50m,07:15,4.6,984,22
2,Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,10h 30m,07:30,4.2,952,19
2,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,11h 30m,06:30,4.4,599,26
2,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:35,12h 55m,10:30,4.4,859,24
2,Atmaram Gobus,NON A/C Sleeper (2+1),20:01,10h 30m,06:31,4.3,660,16
2,Giroba Travels (Shree),A/C Sleeper (2+1),18:01,11h 44m,05:45,,2500,29
2,Giroba Travels (ST.Christopher),Non AC Seater (2+2),18:00,11h 30m,05:30,,399,32
2,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),22:00,11h 30m,09:30,4.1,1020,23
2,Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,13h 00m,09:00,4.3,400,35
2,Prasanna Purple Big Bus,VE A/C Sleeper (2+1),22:00,09h 30m,07:30,4.2,1030,16
2,Amrutyog Travels,A/C Sleeper (2+1),19:00,11h 22m,06:22,4.2,799,20
2,Atmaram Travels(KVT Narmada Red),Bharat Benz A/C Sleeper (2+1),21:16,10h 15m,07:31,4.1,799,20
2,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),18:00,12h 10m,06:10,4.3,1099,11
2,Prasanna - Purple Bus,VE A/C Sleeper (2+1),17:00,12h 00m,05:00,4.0,1020,25
2,Atmaram Travels ( Ashray ),A/C Sleeper (2+1),20:05,10h 15m,06:20,3.9,750,24
2,Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),18:00,12h 15m,06:15,3.9,1020,20
2,Laxmi Queen Asta,A/C Sleeper (2+1),20:30,10h 30m,07:00,4.0,899,21
2,Laxmi Empress Stellar,NON A/C Sleeper (2+1),19:45,11h 00m,06:45,3.8,799,12
