route_no,state_name,route_name,route_ref
1,Kadamba Transport Corporation Limited (KTCL),Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
2,Kadamba Transport Corporation Limited (KTCL),Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune
3,Kadamba Transport Corporation Limited (KTCL),Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa
4,Kadamba Transport Corporation Limited (KTCL),Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai
5,Kadamba Transport Corporation Limited (KTCL),Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa
6,Kadamba Transport Corporation Limited (KTCL),Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa
7,Kadamba Transport Corporation Limited (KTCL),Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur
8,Kadamba Transport Corporation Limited (KTCL),Belagavi to Goa,https://www.redbus.in/bus-tickets/belagavi-to-goa
9,Kadamba Transport Corporation Limited (KTCL),Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore
10,Kadamba Transport Corporation Limited (KTCL),Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa
11,Kadamba Transport Corporation Limited (KTCL),Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
12,Kadamba Transport Corporation Limited (KTCL),Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur
13,Kadamba Transport Corporation Limited (KTCL),Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola
14,Kadamba Transport Corporation Limited (KTCL),Sangola (Solapur) to Goa,https://www.redbus.in/bus-tickets/sangola-to-goa
15,Kadamba Transport Corporation Limited (KTCL),Calangute (goa) to Goa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport
16,Kadamba Transport Corporation Limited (KTCL),Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli
17,Kadamba Transport Corporation Limited (KTCL),Calangute (goa) to Mopa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport
